match,velocity,north,east,lat,lon,current_velocity,current_latitude,current_longitude,delta_time,u1,u2
1,0.0807782337069511,0.0,1.0,39.685724528083682,-110.85361093263865,28.6017093658447,39.690673624404162,-110.85498569188161,300,14883,14885
1,0.0807782337069511,0.0,1.0,39.685724528083682,-110.85361093263865,28.6017093658447,39.690701920321168,-110.85500544555913,300,14883,14886
1,0.0807782337069511,0.0,1.0,39.685724528083682,-110.85361093263865,28.6017093658447,39.690713898744058,-110.85497937995068,300,14883,14887
1,42.7565383911133,0.0,1.0,47.797586338936938,-122.39231841644921,0.00621371017768979,47.812026401714611,-122.38338631294475,241,14883,14884
1,42.7565383911133,0.0,1.0,47.797586338936938,-122.39231841644921,50.3621215820313,47.84660216931622,-122.33977227131548,571,14883,14885
1,0.0,0.0,1.0,41.879007853244069,-87.6393057527007,14.1195650100708,41.871597310851961,-87.637811590409086,365,14883,14887
1,79.3397903442383,0.0,1.0,41.677590232535493,-73.939889487242013,0.0,41.707040270467779,-73.938088943156529,184,14883,14884
1,79.3397903442383,0.0,1.0,41.677590232535493,-73.939889487242013,9.52936458587646,41.7073000027977,-73.938096194062624,468,14883,14885
1,75.3759307861328,0.0,1.0,42.648334842493014,-87.905363271036578,37.710334777832,42.686387178399528,-87.905539324657212,183,14883,14884
1,75.3759307861328,0.0,1.0,42.648334842493014,-87.905363271036578,9.04618549346924,42.700989302650967,-87.905629194067487,546,14883,14885
1,60.8760833740234,0.0,1.0,41.507244933070048,-72.815659682210651,31.3462409973145,41.536560305984857,-72.803184657774949,183,14883,14884
1,60.8760833740234,0.0,1.0,41.507244933070048,-72.815659682210651,79.839973449707,41.569325100792831,-72.783910270051337,548,14883,14885
1,50.2564811706543,0.0,1.0,40.164787589614214,-79.7590669447312,49.9582290649414,40.198942432910954,-79.763888278934459,282,14883,14884
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,71.2339706420898,33.171804858020081,-117.36226500057329,305,14883,14886
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,84.1398468017578,33.124802203459836,-117.32708059419072,485,14883,14887
1,0.0,0.0,1.0,37.229646012868841,-120.24681610173057,0.0,37.230726628794606,-120.24817652494725,264,14883,14884
1,74.4431228637695,0.0,1.0,35.348028636511359,-97.484520201302075,64.8354721069336,35.401682897214791,-97.488502945579441,186,14883,14884
1,74.4431228637695,0.0,1.0,35.348028636511359,-97.484520201302075,39.7012100219727,35.452548038057408,-97.512924118204225,540,14883,14885
1,109.900001525879,0.0,1.0,40.213078047329411,-74.7605378529053,132.199996948242,40.274680040307885,-74.677340574087424,181,14883,14884
1,109.900001525879,0.0,1.0,40.213078047329411,-74.7605378529053,140.899993896484,40.434257211265724,-74.500280078889929,569,14883,14885
1,95.1878280639648,0.0,1.0,39.763378529965905,-75.48689456168249,95.5233612060547,39.813454807782954,-75.436860481368754,135,14883,14884
1,77.0686416625977,0.0,1.0,32.989496927856692,-80.039095908953371,76.8263092041016,33.084632003542083,-80.027674009635547,284,14883,14884
